dep1,dep2,flux
01,01,184696
01,13,117
01,21,216
01,25,184
01,26,146
01,38,3252
01,39,1296
01,42,231
01,69,45865
01,71,9719
01,73,2016
01,74,2706
01,75,425
01,92,308
01,93,158
01,95,105
01,SU,31797
01,ZZ,252
02,02,156094
02,08,559
02,51,8618
02,59,3518
02,60,6704
02,62,319
02,75,4856
02,77,4299
02,78,311
02,80,3217
02,91,205
02,92,1054
02,93,2216
02,94,658
02,95,1706
02,BE,266
03,03,112326
03,18,990
03,23,676
03,42,562
03,58,708
03,63,5558
03,69,319
03,71,1652
03,75,354
04,04,53719
04,05,1507
04,06,592
04,13,4185
04,75,132
04,83,435
04,84,644
05,04,1308
05,05,54790
05,13,470
05,26,126
05,38,350
05,73,127
05,75,139
06,04,177
06,06,392321
06,13,1063
06,31,104
06,69,188
06,73,145
06,75,1015
06,83,2544
06,92,474
06,93,173
06,94,141
06,95,327
06,MO,27984
06,SU,159
06,ZZ,788
07,07,90711
07,13,371
07,26,23364
07,30,1185
07,34,116
07,38,2463
07,42,1031
07,43,518
07,48,221
07,69,1940
07,73,175
07,75,210
07,84,714
08,02,686
08,08,87684
08,51,7565
08,55,546
08,57,101
08,59,196
08,75,247
08,BE,3141
08,LU,399
09,09,49424
09,11,621
09,31,5316
09,66,110
10,08,107
10,10,104592
10,21,374
10,51,1706
10,52,843
10,75,1418
10,77,1882
10,78,111
10,89,1641
10,91,173
10,92,303
10,93,297
10,94,300
10,95,135
11,09,751
11,11,116601
11,13,242
11,30,149
11,31,4033
11,34,3979
11,66,1535
11,75,182
11,81,311
11,ZZ,162
12,12,104490
12,15,383
12,30,119
12,31,528
12,34,587
12,46,2173
12,48,626
12,75,122
12,81,820
12,82,247
13,04,1035
13,05,352
13,06,904
13,07,114
13,13,731513
13,26,416
13,30,3300
13,31,284
13,34,776
13,35,107
13,38,331
13,59,137
13,69,945
13,73,157
13,75,2565
13,77,179
13,78,255
13,83,5634
13,84,13831
13,91,270
13,92,1077
13,93,386
13,94,318
13,95,487
13,SU,159
13,ZZ,749
14,14,255329
14,27,1882
14,35,359
14,44,176
14,50,5444
14,59,154
14,61,4481
14,72,107
14,73,147
14,75,1904
14,76,2812
14,77,128
14,78,419
14,91,201
14,92,771
14,93,388
14,94,222
14,95,243
14,ZZ,168
15,12,623
15,15,55132
15,19,1203
15,43,338
15,46,484
15,48,341
15,63,675
16,16,126954
16,17,2719
16,24,815
16,33,865
16,75,354
16,79,507
16,86,1116
16,87,1657
16,92,202
16,ZZ,157
17,16,6371
17,17,218149
17,24,409
17,31,124
17,33,3498
17,44,405
17,75,800
17,78,162
17,79,3658
17,85,1099
17,86,593
17,87,133
17,91,139
17,92,303
17,93,168
17,94,129
17,95,184
17,ZZ,175
18,03,795
18,18,101879
18,36,2283
18,37,272
18,41,1037
18,45,1819
18,58,4834
18,63,116
18,75,557
18,92,182
18,94,129
19,15,588
19,19,86158
19,23,257
19,24,1584
19,31,198
19,33,208
19,46,1710
19,63,347
19,75,256
19,87,1672
19,92,109
21,10,393
21,21,208063
21,25,880
21,39,1689
21,52,569
21,57,113
21,58,196
21,67,128
21,69,760
21,70,507
21,71,3627
21,75,1006
21,77,108
21,78,101
21,89,1253
21,91,118
21,92,451
21,93,134
21,94,180
21,SU,105
21,ZZ,154
22,14,124
22,22,202935
22,29,4263
22,35,12710
22,44,428
22,49,142
22,50,173
22,56,2874
22,75,530
22,76,118
22,78,156
22,91,147
22,92,304
22,93,130
22,94,147
22,95,113
22,ZZ,289
23,03,716
23,19,331
23,23,38627
23,36,688
23,63,428
23,75,113
23,87,1262
24,16,1107
24,17,254
24,19,2393
24,24,137071
24,31,216
24,33,5863
24,46,853
24,47,1022
24,75,317
24,87,1197
24,92,113
24,ZZ,148
25,01,101
25,21,731
25,25,179548
25,39,2311
25,67,234
25,68,832
25,69,174
25,70,3801
25,71,128
25,74,112
25,75,355
25,84,107
25,90,6129
25,92,168
25,SU,25994
26,01,109
26,05,153
26,07,11527
26,13,545
26,26,170376
26,30,821
26,34,145
26,38,5684
26,42,243
26,69,3218
26,73,213
26,74,171
26,75,438
26,83,125
26,84,4635
26,92,216
26,93,117
26,95,102
26,ZZ,135
27,14,4687
27,27,169530
27,28,5021
27,50,119
27,59,113
27,60,1240
27,61,1181
27,75,6515
27,76,29532
27,77,300
27,78,12048
27,91,507
27,92,3977
27,93,1104
27,94,645
27,95,5348
27,ZZ,150
28,27,2129
28,28,128470
28,37,144
28,41,814
28,45,2728
28,61,806
28,72,502
28,75,7612
28,76,173
28,77,294
28,78,21699
28,91,4397
28,92,3885
28,93,808
28,94,1221
28,95,422
29,13,203
29,14,113
29,22,2383
29,29,338541
29,33,124
29,35,1145
29,44,702
29,49,169
29,50,168
29,56,7308
29,73,151
29,75,899
29,76,148
29,78,198
29,83,128
29,91,143
29,92,465
29,93,138
29,94,178
29,95,177
29,ZZ,641
2A,13,207
2A,2A,63304
2A,2B,555
2A,75,142
2B,13,274
2B,2A,867
2B,2B,66082
2B,75,124
30,06,195
30,07,757
30,12,128
30,13,9638
30,26,2439
30,30,218855
30,31,217
30,34,15503
30,38,191
30,42,108
30,48,379
30,66,142
30,69,524
30,73,156
30,74,126
30,75,775
30,78,132
30,83,242
30,84,14567
30,91,123
30,92,270
30,93,140
30,94,102
30,95,200
30,ZZ,179
31,09,3532
31,11,1276
31,12,322
31,13,296
31,30,120
31,31,566806
31,32,3083
31,33,720
31,34,366
31,38,126
31,44,209
31,46,337
31,47,365
31,59,146
31,63,112
31,64,456
31,65,1830
31,66,164
31,69,288
31,75,1366
31,77,123
31,78,231
31,81,4463
31,82,4290
31,91,241
31,92,673
31,93,289
31,94,318
31,95,510
31,ZZ,660
32,31,8447
32,32,61740
32,33,148
32,40,1659
32,47,978
32,64,401
32,65,1168
32,75,115
32,82,485
33,06,103
33,13,265
33,16,779
33,17,1674
33,19,149
33,24,3298
33,31,902
33,32,106
33,33,635971
33,34,145
33,35,140
33,37,184
33,40,1842
33,44,286
33,47,2458
33,59,198
33,64,698
33,65,172
33,67,117
33,69,319
33,73,140
33,75,2457
33,77,192
33,78,395
33,79,172
33,82,117
33,85,121
33,86,271
33,87,172
33,91,295
33,92,1209
33,93,423
33,94,545
33,95,737
33,ZZ,543
34,06,199
34,11,3462
34,12,492
34,13,1644
34,26,231
34,30,10143
34,31,703
34,33,212
34,34,397308
34,38,224
34,44,102
34,48,124
34,66,573
34,69,573
34,73,288
34,75,1355
34,77,135
34,78,185
34,81,375
34,83,258
34,84,491
34,91,131
34,92,535
34,93,196
34,94,226
34,95,518
34,SU,102
34,ZZ,403
35,13,116
35,14,332
35,22,6872
35,29,763
35,33,130
35,35,419177
35,37,134
35,44,3824
35,49,421
35,50,2510
35,53,4305
35,56,4736
35,59,119
35,61,139
35,69,196
35,72,290
35,73,129
35,75,1547
35,76,197
35,77,180
35,78,395
35,85,137
35,91,292
35,92,820
35,93,322
35,94,280
35,95,321
35,ZZ,370
36,18,2219
36,23,399
36,36,76443
36,37,929
36,41,1240
36,45,289
36,75,275
36,86,545
36,87,236
36,92,173
37,17,126
37,18,255
37,28,239
37,33,152
37,35,186
37,36,889
37,37,225440
37,41,4610
37,44,327
37,45,1217
37,49,1385
37,69,151
37,72,1059
37,75,2300
37,77,133
37,78,283
37,79,179
37,86,2523
37,91,343
37,92,956
37,93,440
37,94,258
37,95,206
37,ZZ,154
38,01,5488
38,05,196
38,06,134
38,07,1040
38,13,384
38,21,104
38,26,4573
38,31,127
38,34,112
38,38,444656
38,42,1299
38,59,114
38,69,58615
38,71,159
38,73,9158
38,74,1400
38,75,843
38,78,178
38,83,108
38,91,162
38,92,521
38,93,238
38,94,183
38,95,116
38,SU,415
38,ZZ,393
39,01,3313
39,21,2748
39,25,5654
39,39,85558
39,69,374
39,70,355
39,71,1257
39,74,133
39,75,161
39,SU,5724
40,31,365
40,32,1147
40,33,5267
40,40,134001
40,47,274
40,64,14755
40,65,188
40,75,370
40,92,198
40,93,124
40,95,150
40,ZZ,204
41,18,1294
41,28,1131
41,36,1089
41,37,4649
41,41,110631
41,44,106
41,45,7240
41,72,824
41,75,1154
41,78,204
41,91,141
41,92,456
41,93,208
41,94,201
42,01,417
42,03,338
42,07,1301
42,13,185
42,26,439
42,38,3537
42,42,251631
42,43,2638
42,63,771
42,69,24645
42,71,1280
42,73,303
42,74,172
42,75,457
42,78,119
42,92,249
42,ZZ,113
43,07,423
43,15,376
43,38,151
43,42,10869
43,43,75617
43,48,357
43,63,2871
43,69,693
43,75,125
44,13,157
44,14,144
44,17,213
44,22,196
44,29,397
44,31,128
44,33,187
44,35,5623
44,37,313
44,41,132
44,44,554315
44,45,130
44,49,9512
44,50,131
44,53,412
44,56,2217
44,59,122
44,67,101
44,69,185
44,72,482
44,73,223
44,74,110
44,75,1893
44,76,132
44,77,201
44,78,297
44,79,325
44,85,9589
44,86,141
44,91,342
44,92,1179
44,93,423
44,94,294
44,95,471
44,ZZ,450
45,18,1470
45,28,1632
45,35,124
45,36,117
45,37,693
45,41,2934
45,44,116
45,45,244760
45,58,308
45,59,119
45,69,138
45,75,5460
45,77,4027
45,78,667
45,89,1315
45,91,5359
45,92,1815
45,93,801
45,94,1504
45,95,247
45,ZZ,158
46,12,1503
46,15,317
46,19,1736
46,24,543
46,31,680
46,46,57556
46,47,443
46,75,179
46,82,790
47,24,1258
47,31,743
47,32,730
47,33,2962
47,40,213
47,46,376
47,47,114160
47,64,155
47,75,261
47,82,1220
48,12,288
48,15,252
48,30,381
48,34,131
48,43,195
48,48,29552
49,14,135
49,33,119
49,35,618
49,37,2079
49,44,15049
49,45,177
49,49,296131
49,53,2639
49,56,192
49,69,126
49,72,3349
49,73,179
49,75,1010
49,78,245
49,79,2211
49,85,4664
49,86,386
49,91,194
49,92,419
49,93,174
49,94,228
49,95,112
49,ZZ,181
50,14,6098
50,22,108
50,27,106
50,29,127
50,35,2302
50,44,215
50,50,184196
50,53,341
50,60,119
50,61,597
50,75,481
50,76,378
50,78,174
50,92,292
50,94,125
50,ZZ,133
51,02,2548
51,08,1735
51,10,2701
51,44,119
51,51,211895
51,52,2114
51,54,186
51,55,908
51,57,199
51,59,250
51,60,115
51,67,161
51,69,109
51,75,1889
51,77,1589
51,78,155
51,91,187
51,92,753
51,93,599
51,94,405
51,95,270
51,ZZ,115
52,10,1130
52,21,1015
52,51,994
52,52,60580
52,54,193
52,55,1295
52,70,243
52,75,169
52,88,683
53,14,118
53,35,4491
53,44,445
53,49,2058
53,50,259
53,53,112609
53,61,2224
53,72,2933
53,75,329
53,92,128
54,08,108
54,51,217
54,52,281
54,54,227867
54,55,2658
54,57,22815
54,59,131
54,67,846
54,68,265
54,69,171
54,75,918
54,77,114
54,78,167
54,88,4439
54,92,445
54,93,182
54,94,178
54,BE,3129
54,LU,21915
54,ZZ,108
55,08,401
55,51,1021
55,52,2552
55,54,5349
55,55,56721
55,57,1671
55,67,106
55,75,150
55,88,269
55,BE,1647
55,LU,1615
56,13,118
56,22,4046
56,29,5738
56,35,8045
56,44,5410
56,49,249
56,50,127
56,56,259798
56,72,120
56,73,151
56,75,981
56,78,219
56,91,161
56,92,464
56,93,175
56,94,145
56,95,219
56,ZZ,312
57,13,131
57,51,229
57,54,12582
57,55,677
57,57,317163
57,59,153
57,67,10028
57,68,449
57,69,184
57,75,1061
57,77,138
57,78,170
57,88,229
57,91,130
57,92,459
57,93,198
57,94,168
57,95,124
57,AL,18259
57,BE,212
57,LU,57604
57,SU,155
57,ZZ,132
58,03,1036
58,18,1842
58,21,387
58,45,571
58,58,65586
58,63,112
58,71,731
58,75,396
58,89,922
58,91,109
58,92,121
58,94,108
59,02,3814
59,08,232
59,13,243
59,14,163
59,33,161
59,35,126
59,38,131
59,42,119
59,44,167
59,45,108
59,51,378
59,54,124
59,57,288
59,59,883882
59,60,616
59,62,37194
59,67,285
59,68,153
59,69,421
59,73,198
59,74,138
59,75,4638
59,76,494
59,77,647
59,78,713
59,80,1276
59,91,437
59,92,1903
59,93,1082
59,94,542
59,95,837
59,BE,29707
59,LU,143
59,ZZ,472
60,02,2563
60,17,120
60,27,1535
60,45,104
60,51,144
60,59,551
60,60,235520
60,62,249
60,69,140
60,75,20914
60,76,1661
60,77,5302
60,78,2368
60,80,4716
60,91,775
60,92,7871
60,93,14425
60,94,2037
60,95,35631
60,ZZ,160
61,14,4758
61,27,1540
61,28,2926
61,35,180
61,50,602
61,53,1156
61,61,88054
61,72,2964
61,75,877
61,76,255
61,78,286
61,91,113
61,92,371
61,93,159
61,94,135
62,02,440
62,13,142
62,38,110
62,41,101
62,44,116
62,51,183
62,57,138
62,59,82935
62,60,518
62,62,434068
62,67,164
62,69,245
62,73,116
62,75,2472
62,76,512
62,77,339
62,78,429
62,80,4744
62,91,339
62,92,858
62,93,635
62,94,379
62,95,559
62,BE,1173
62,ZZ,302
63,03,5148
63,15,463
63,18,110
63,19,455
63,23,246
63,31,110
63,38,138
63,42,899
63,43,1909
63,63,252624
63,69,756
63,75,598
63,78,128
63,92,250
63,93,102
63,94,149
63,ZZ,127
64,13,121
64,31,595
64,32,319
64,33,1263
64,40,8128
64,47,188
64,64,251729
64,65,4442
64,73,114
64,75,841
64,78,109
64,91,124
64,92,369
64,93,121
64,94,113
64,95,312
64,ZZ,3187
65,31,2226
65,32,1275
65,33,178
65,64,3366
65,65,78072
65,75,105
66,11,1357
66,13,260
66,31,586
66,34,922
66,65,120
66,66,151435
66,75,314
66,92,112
66,ZZ,651
67,21,130
67,25,139
67,51,131
67,54,491
67,57,5099
67,59,147
67,67,440608
67,68,10473
67,69,160
67,75,942
67,77,144
67,78,146
67,88,343
67,90,107
67,91,123
67,92,468
67,93,211
67,94,155
67,95,178
67,AL,23847
67,LU,200
67,SU,780
67,ZZ,283
68,25,884
68,54,203
68,57,285
68,67,8302
68,68,259382
68,69,128
68,70,165
68,75,465
68,88,307
68,90,2156
68,92,234
68,95,106
68,AL,5178
68,SU,37172
68,ZZ,200
69,01,15343
69,06,216
69,07,469
69,13,588
69,21,483
69,25,117
69,26,1230
69,28,147
69,30,177
69,31,197
69,33,151
69,34,157
69,38,16227
69,39,171
69,42,7966
69,43,125
69,44,144
69,59,239
69,63,411
69,67,227
69,68,158
69,69,718025
69,71,3016
69,73,802
69,74,796
69,75,2702
69,77,224
69,78,369
69,83,140
69,84,163
69,91,417
69,92,1458
69,93,608
69,94,431
69,95,468
69,SU,691
69,ZZ,599
70,21,1105
70,25,13485
70,39,307
70,52,372
70,67,141
70,68,581
70,69,117
70,70,68667
70,75,123
70,88,1054
70,90,5938
70,SU,359
71,01,4266
71,03,866
71,13,111
71,21,7566
71,25,202
71,38,214
71,39,3401
71,42,2364
71,58,629
71,69,4934
71,71,185836
71,73,157
71,74,120
71,75,615
71,77,114
71,78,110
71,89,160
71,92,244
71,93,117
71,SU,132
71,ZZ,118
72,14,165
72,28,1059
72,35,361
72,37,1529
72,41,1036
72,44,558
72,45,129
72,49,2829
72,53,2093
72,61,7267
72,69,143
72,72,201070
72,75,1766
72,76,133
72,77,118
72,78,357
72,85,121
72,91,298
72,92,684
72,93,256
72,94,215
72,95,160
73,01,1593
73,26,112
73,38,7697
73,69,1646
73,73,164871
73,74,9782
73,75,401
73,92,164
73,SU,1052
73,ZZ,181
74,01,2269
74,13,103
74,38,822
74,69,1054
74,73,4731
74,74,280371
74,75,606
74,92,229
74,93,107
74,95,170
74,SU,85595
74,ZZ,354
75,02,175
75,06,216
75,10,158
75,13,516
75,14,243
75,17,151
75,21,178
75,22,103
75,25,141
75,27,347
75,28,349
75,29,118
75,31,209
75,33,323
75,34,289
75,35,362
75,37,305
75,38,219
75,41,122
75,44,394
75,45,475
75,49,167
75,50,112
75,51,473
75,54,230
75,57,185
75,59,968
75,60,1285
75,62,192
75,63,111
75,67,361
75,69,722
75,72,214
75,74,170
75,75,741708
75,76,545
75,77,9245
75,78,18935
75,80,363
75,83,139
75,84,123
75,86,147
75,89,186
75,91,15228
75,92,155906
75,93,62466
75,94,43288
75,95,14676
75,AL,272
75,BE,394
75,LU,176
75,SU,382
75,ZZ,2509
76,13,223
76,14,1379
76,27,15385
76,28,158
76,33,101
76,35,196
76,44,198
76,50,357
76,59,362
76,60,2252
76,61,136
76,62,212
76,69,246
76,72,113
76,73,132
76,75,4131
76,76,449655
76,77,328
76,78,1244
76,80,4304
76,91,398
76,92,1717
76,93,720
76,94,477
76,95,895
76,ZZ,214
77,02,847
77,10,879
77,13,172
77,17,179
77,21,159
77,28,117
77,33,119
77,35,110
77,44,168
77,45,1949
77,51,581
77,59,270
77,60,1574
77,69,228
77,71,197
77,75,91988
77,76,134
77,77,354805
77,78,3378
77,80,102
77,89,1225
77,91,26605
77,92,23280
77,93,51275
77,94,42804
77,95,16298
77,ZZ,341
78,13,118
78,14,125
78,27,1870
78,28,2438
78,31,107
78,33,154
78,38,130
78,44,141
78,45,217
78,51,127
78,59,218
78,60,559
78,69,280
78,75,92766
78,76,682
78,77,1778
78,78,362554
78,91,14701
78,92,106185
78,93,13183
78,94,10285
78,95,21049
78,BE,110
78,SU,197
78,ZZ,827
79,16,485
79,17,2214
79,33,227
79,37,161
79,44,345
79,49,3894
79,75,316
79,79,136727
79,85,3414
79,86,3135
79,92,201
79,ZZ,108
80,02,2239
80,51,126
80,59,1703
80,60,6810
80,62,3363
80,75,2247
80,76,4458
80,77,177
80,78,212
80,80,192490
80,91,177
80,92,847
80,93,612
80,94,336
80,95,413
81,11,347
81,12,1264
81,31,15606
81,34,488
81,75,252
81,81,125550
81,82,852
81,92,172
81,ZZ,120
82,12,372
82,31,15203
82,32,351
82,33,156
82,46,919
82,47,1811
82,75,249
82,81,434
82,82,78285
83,04,1280
83,05,219
83,06,10112
83,13,25623
83,26,101
83,30,119
83,34,154
83,38,128
83,59,122
83,69,362
83,73,291
83,74,112
83,75,1156
83,77,139
83,78,183
83,83,347308
83,84,424
83,91,115
83,92,368
83,93,203
83,94,186
83,95,266
83,MO,202
83,ZZ,380
84,04,793
84,06,182
84,07,308
84,13,17907
84,26,5079
84,30,5034
84,34,414
84,38,159
84,69,418
84,73,122
84,75,626
84,83,295
84,84,176608
84,92,279
84,95,135
84,ZZ,142
85,17,2426
85,29,117
85,33,332
85,35,214
85,44,12684
85,49,5355
85,73,104
85,75,555
85,79,4325
85,85,242542
85,86,173
85,91,182
85,92,227
85,93,117
85,95,103
85,ZZ,107
86,16,966
86,17,423
86,33,319
86,36,609
86,37,2804
86,44,218
86,45,113
86,49,854
86,75,712
86,78,115
86,79,3589
86,85,119
86,86,159268
86,87,332
86,92,325
86,93,141
86,94,108
87,16,1092
87,19,1315
87,23,1647
87,24,656
87,31,125
87,33,257
87,36,261
87,75,329
87,86,293
87,87,135004
87,92,182
88,25,109
88,52,791
88,54,6101
88,55,279
88,57,567
88,67,1557
88,68,1633
88,70,930
88,75,315
88,88,125221
88,90,112
88,92,147
89,10,907
89,21,1172
89,45,1104
89,58,874
89,69,140
89,71,133
89,75,3090
89,77,5416
89,78,187
89,89,113448
89,91,563
89,92,733
89,93,532
89,94,865
89,95,145
90,25,8688
90,67,175
90,68,3654
90,70,1533
90,90,37926
90,SU,3417
91,13,119
91,28,715
91,31,144
91,33,124
91,35,113
91,38,102
91,45,1025
91,59,168
91,60,274
91,67,108
91,69,310
91,75,86989
91,76,117
91,77,15684
91,78,20450
91,89,148
91,91,321365
91,92,45404
91,93,12567
91,94,54907
91,95,3782
91,ZZ,367
92,06,121
92,13,177
92,14,110
92,27,256
92,28,265
92,31,153
92,33,177
92,35,111
92,37,123
92,44,174
92,45,235
92,51,165
92,59,369
92,60,712
92,63,116
92,67,145
92,69,368
92,75,219182
92,76,372
92,77,3524
92,78,38517
92,80,109
92,83,109
92,91,19420
92,92,392413
92,93,31360
92,94,27452
92,95,14703
92,AL,135
92,BE,190
92,SU,141
92,ZZ,1206
93,02,109
93,13,162
93,17,129
93,27,152
93,31,177
93,33,128
93,35,168
93,44,278
93,45,194
93,51,106
93,59,338
93,60,1185
93,69,281
93,75,191361
93,76,271
93,77,21233
93,78,6989
93,80,129
93,91,5793
93,92,54457
93,93,291478
93,94,34242
93,95,32298
93,ZZ,434
94,02,102
94,06,101
94,13,157
94,28,130
94,31,101
94,34,104
94,35,123
94,44,340
94,45,181
94,51,162
94,59,310
94,60,407
94,67,109
94,69,293
94,75,181366
94,76,229
94,77,17454
94,78,7750
94,89,138
94,91,20647
94,92,56283
94,93,39484
94,94,276993
94,95,7506
94,ZZ,540
95,27,580
95,28,127
95,45,107
95,59,227
95,60,5821
95,67,146
95,69,241
95,73,108
95,75,95352
95,76,305
95,77,5158
95,78,24025
95,80,146
95,91,2845
95,92,73350
95,93,47336
95,94,9520
95,95,255601
95,ZZ,360
971,75,149
971,971,125328
971,972,115
972,971,1057
972,972,128656
973,973,68335
974,01,126
974,47,174
974,75,119
974,974,259353
974,975,577
